============================================================================================
V4 GEOMETRY   NAMING: A = RED anchor, B = BLUE anchor, C = STUDENT
  (v1 used A red, C blue, B student -- different, stored separately)
============================================================================================
  A (red anchor)   centre (8, 9)    49 cells
  B (blue anchor)  centre (11, 9)   49 cells
  C (student)      centre (9, 12)   49 cells
  A&B  28  <- EXCLUDED from BOTH anchors' training
  A&C  24   B&C  20   triple 16
  exclusive: A 13   B 17   C 21
  C cells shared with an anchor: 28

ANCHOR TRAINING CONDITIONS (neither at an extreme of [0, 1]):
    A trains at 0.66   (region mean 0.660)
    B trains at 0.36   (region mean 0.360)
    midpoint 0.510 -- a student cell is 'closer to A' above this

PER-CELL FILTER VALUE across C's supervised region:
    col  :      6      7      8      9     10     11     12
    v    :  0.860  0.777  0.693  0.610  0.527  0.443  0.360
    near :      A      A      A      A      A      B      B

split: 20 cells favour A (71.4%), 8 favour B (28.6%)
    crossover (v=0.510) at column 10.20, between cols 10 and 11
    student v range 0.360 .. 0.860;  A inside: True;  B inside: True
    A&B (excluded) 0.443 .. 0.693

WHY V4 -- the region where the rules can actually differ:
    supervised 28 = TWO-contributor 16 (57%) + single-contributor 12
    v3 was 28 = 8 two-contributor (29%) + 20 single
    two-contributor columns [8, 9, 10, 11]
    v across them: c8=0.693  c9=0.610  c10=0.527  c11=0.443
    BIAS on the two-contributor cells: 12 nearer A (75%), 4 nearer B (25%)
  offset field: None
[frozen_seed42] nodes=3 coverage max=3 mode=frozen steps=390
[frozen_seed42] step 000/390 trained 3/3 | hop0: 0.1355 | hop1: 0.1253
[frozen_seed42] step 010/390 trained 3/3 | hop0: 0.0946 | hop1: 0.0861
[frozen_seed42] step 020/390 trained 3/3 | hop0: 0.0821 | hop1: 0.0829
[frozen_seed42] step 030/390 trained 3/3 | hop0: 0.0718 | hop1: 0.0733
[frozen_seed42] step 040/390 trained 3/3 | hop0: 0.0846 | hop1: 0.0823
[frozen_seed42] step 050/390 trained 3/3 | hop0: 0.0855 | hop1: 0.0918
[frozen_seed42] step 060/390 trained 3/3 | hop0: 0.1077 | hop1: 0.1068
[frozen_seed42] step 070/390 trained 3/3 | hop0: 0.0900 | hop1: 0.0985
[frozen_seed42] step 080/390 trained 3/3 | hop0: 0.0858 | hop1: 0.0826
[frozen_seed42] step 090/390 trained 3/3 | hop0: 0.0749 | hop1: 0.0621
[frozen_seed42] step 100/390 trained 3/3 | hop0: 0.0892 | hop1: 0.1023
[frozen_seed42] step 110/390 trained 3/3 | hop0: 0.0644 | hop1: 0.0752
[frozen_seed42] step 120/390 trained 3/3 | hop0: 0.1182 | hop1: 0.0874
[frozen_seed42] step 130/390 trained 3/3 | hop0: 0.0763 | hop1: 0.0677
[frozen_seed42] step 140/390 trained 3/3 | hop0: 0.0805 | hop1: 0.0743
[frozen_seed42] step 150/390 trained 3/3 | hop0: 0.0839 | hop1: 0.1262
[frozen_seed42] step 160/390 trained 3/3 | hop0: 0.0851 | hop1: 0.0817
[frozen_seed42] step 170/390 trained 3/3 | hop0: 0.1019 | hop1: 0.0665
[frozen_seed42] step 180/390 trained 3/3 | hop0: 0.0936 | hop1: 0.0807
[frozen_seed42] step 190/390 trained 3/3 | hop0: 0.0811 | hop1: 0.0752
[frozen_seed42] step 200/390 trained 3/3 | hop0: 0.0536 | hop1: 0.0713
[frozen_seed42] step 210/390 trained 3/3 | hop0: 0.1159 | hop1: 0.0925
[frozen_seed42] step 220/390 trained 3/3 | hop0: 0.0716 | hop1: 0.0715
[frozen_seed42] step 230/390 trained 3/3 | hop0: 0.0846 | hop1: 0.0893
[frozen_seed42] step 240/390 trained 3/3 | hop0: 0.0807 | hop1: 0.0742
[frozen_seed42] step 250/390 trained 3/3 | hop0: 0.1049 | hop1: 0.0723
[frozen_seed42] step 260/390 trained 3/3 | hop0: 0.0955 | hop1: 0.0891
[frozen_seed42] step 270/390 trained 3/3 | hop0: 0.0697 | hop1: 0.0733
[frozen_seed42] step 280/390 trained 3/3 | hop0: 0.0735 | hop1: 0.0662
[frozen_seed42] step 290/390 trained 3/3 | hop0: 0.0829 | hop1: 0.0867
[frozen_seed42] step 300/390 trained 3/3 | hop0: 0.1143 | hop1: 0.1108
[frozen_seed42] step 310/390 trained 3/3 | hop0: 0.0693 | hop1: 0.0638
[frozen_seed42] step 320/390 trained 3/3 | hop0: 0.0866 | hop1: 0.0987
[frozen_seed42] step 330/390 trained 3/3 | hop0: 0.0708 | hop1: 0.0872
[frozen_seed42] step 340/390 trained 3/3 | hop0: 0.0822 | hop1: 0.0704
[frozen_seed42] step 350/390 trained 3/3 | hop0: 0.1022 | hop1: 0.1038
[frozen_seed42] step 360/390 trained 3/3 | hop0: 0.0991 | hop1: 0.0827
[frozen_seed42] step 370/390 trained 3/3 | hop0: 0.0838 | hop1: 0.0681
[frozen_seed42] step 380/390 trained 3/3 | hop0: 0.0641 | hop1: 0.0545
[frozen_seed42] mean MSE (last 50 steps): 0.0922 | cert-MSE r=-0.714
[frozen_seed42] saved runs\chapter5_v2\s5_3_colour_three_node_v4\frozen_seed42\figures\results.png
### frozen_seed42 last50=0.09219
